Aircraft type Id,Short name,Manufacturer,Model name,ICAO code,IATA code,Handling category,Fuel type,Fuel process,Max fuel capacity in liter,MTOW kg,MTOW ton,Wing span in meter,Wing area in m2,Length in meter,Height in meter,Number of seats,Range in km,De-ice category,Noise chapter,Noise category,Hanger category,Ground power type,Remarks,Export values,Number of engines,MTOW in US Pounds
51f4ed7c-ee88-4c63-9b9a-8a37f18cecd4,AC80,Rockwell,Turbo Commander (680),AC80,,T01,,,,3864,4,,,,,6,,A,,,,,,,,8519
a063a01e-b3a6-4b49-969a-c4ba85500f3e,AE-270,Aero Vodochody,Ae-270 Ibis,A270,,B00,,,,3670,4,,,,,8,,,,,,,,,,8091
d781d941-6bdb-460f-a3fb-013c629ebc29,Aero Comp 10XL,Aerocomp,10XL,CA10,,T01,,,,1200,2,,,,,8,,,,,,,,,,2646
fb034d25-3ab4-4076-828a-e8db5b93eba4,AIRSHOW,ZZZZ,,EINN,,B00,,,,1,1,,,,,,,,,,,,,,,2
4ea52484-55d5-458a-8e38-f0a0c41341aa,ALO3,Aerospatiale,Alouette 3,ALO3,,H01,Jet Fuel,Overwing,575,2200,3,10.2,,9.7,2.75,5,1500,A,,,,28V/DC,,,1,4850
b938bd6c-47b6-470a-9201-52d9dbee297f,AN12,Antonov,An-12,AN12,ANF,C_JP5,Jet Fuel,Pressure,,61000,61,,,,,14,,D,,,,115V/AC - 220V/DC,,JP Handling Category(Japan): 5,4,134482
3e076469-e0b4-4e40-9c94-e44b87a23d89,AN124-100,Antonov,AN-124 Ruslan,A124,,C_JP1 CG,,,,405000,405,,,,,88,,,,,,,,"MLW(Hawaii): 727500, Singapore WSSS PF(Singapore): 248.35",,892872
53c794dd-38e1-44b7-87af-ee380f6df358,AN140,Antonov,AN-140,A140,A4F,B14,Jet Fuel,Overwing,,45810,46,,,,,52,,B,,,,115V/AC - 220V/DC,,,4,100994
b84a3c0f-f5b4-4dd6-8822-3a1cb34c2942,AN2,Antonov,AN-2,AN2,,B01,Jet Fuel,Overwing,0,5200,6,,0,,,12,,A,,,,115V/AC - 220V/DC,,,1,11464
37a5ea12-2dc2-486d-8338-a86efde7bd9f,AN225,Antonov,AN-225 MRIYA,A225,,C06,Jet Fuel,,,600000,600,88.4,,,,0,,F,,,,,,Singapore WSSS PF(Singapore): 361.00,,1322773
906179c3-c1e1-4c48-b019-c09860dd3607,AN24,Antonov,AN-24,AN24,,B07,Jet Fuel,Pressure,,21000,21,,,,,50,,C,,,,115V/AC - 220V/DC,,JP Handling Category(Japan): 6,2,46297
250aaa2c-d768-4101-80c6-ec3a33d9ef82,AN26,Antonov,AN-26,AN26,,B09,Jet Fuel,Pressure,,24000,24,,,,,40,,B,,,,115V/AC - 220V/DC,,,2,52911
61aaec95-ef44-493b-824e-bf0482589668,AN72,Antonov,AN-72,AN72,AN7,B12,Jet Fuel,Pressure,,35000,35,,,,,68,,B,,,,115V/AC - 220V/DC,,,2,77162
19d118a4-f906-46f5-954d-8d90cad33d02,AN74,Antonov,AN-74,AN74,,B13,,,,36500,37,,,,,52,,,,,,,,,2,80469
74ef5968-c765-4eaa-8275-9159cd9fae93,AN8,Antonov,An-8,AN8,,B13,,,,40000,40,,,,,48,,,,,,,,,,88185
2cba7b0d-8eb9-42ea-b4b4-9b4118fd1ea1,AP-68TP-600,Vulcan Air,AP-68TP-600 Viator,VTOR,,B00,,,,3000,3,,,,,,,,,,,,,,,6614
8081fac4-34a0-424b-8add-cf014d22c89c,AS321,Eurocopter,AS-332L Super Puma,AS32,,H02,Jet Fuel,Pressure,,9350,10,,,,,24,,A,,,,115V/AC - 220V/DC,,,2,20613
d22a0bde-03c1-4b0f-b95a-3768fed150d8,AS322,Eurocopter,AS-332L Super Puma II,AS32,,B02,Jet Fuel,Pressure,,9300,10,,,,,19,,A,,,,115V/AC - 220V/DC,,,2,20503
574679ea-c7cd-452f-82fa-8083f729cc24,AS350B2,Airbus Industries,AS-350B2 Ecureuil,AS50,,H01,Jet Fuel,Pressure,,2250,3,,,,,5,,A,,,,115V/AC - 220V/DC,,,1,4960
a3c94201-4864-47d1-89b6-7cab0d5e2bd1,AS350B3,Eurocopter,AS-350B3,AS50,,B00,,,,2250,3,,,,,6,,,,,,,"MTOW got from airliners.net
AS 350B3: equipped with Turbomeca Arriel 2B and system FADEC (Full Authority Digital Engine Control).",,,4960
a3d33e82-de59-4fcd-911a-0c1fa8b926e8,AS355,Eurocopter,AS-355 Ecureuil 2,AS55,,H01,Jet Fuel,Pressure,,2600,3,,,,,5,,A,,,,115V/AC - 220V/DC,,,2,5732
278a18d5-b7a2-4278-9b3a-425e86d2bb4d,AS365N,Eurocopter,AS-365 Dauphin 2,AS65,,H01,Jet Fuel,Pressure,1135,4250,5,,0,,,8,,A,,,,28V/DC,,,2,9370
e07ed557-6cc4-44d7-9e19-2b26c97d5675,AS532,Eurocopter,Cougar,AS32,,B02,,,,9000,9,,,,,19,,B,,,,,Eurocopter AS532 Cougar,,,19842
0597fdff-3966-47be-ac6f-f45b63fc5f38,AS565N,Eurocopter,AS-565 Panther,AS65,,B00,,,,4700,5,,,,,8,,A,,,,,,,2,10362
4f999217-2741-4674-9059-186813b3eb27,ASTRA,IAI,1125 Astra,ASTR,,B_JP7,Jet Fuel,Pressure,,10660,11,,,,,6,,A,,,,115V/AC - 220V/DC,,MLW(Hawaii): 20700,2,23501
8db0a302-b760-4ee4-a949-23bcd85570ad,AT802,Air Tractor,Air Tractor 802,AT8T,,B02,,,,7257,8,18.06,37.25,10.95,3.89,2,1289,,,,,,,MLW(Hawaii): 16000,1,15999
2a6f96b0-a523-4cc3-bb45-974faa74ac17,ATR42-200,ATR,ATR-42-200,AT42,,B06,Jet Fuel,Pressure,,16700,17,,,,,46,,B,,,,115V/AC - 220V/DC,,,,36817
728adaf8-3d39-4447-9f2a-a89456898d2e,ATR42-300,ATR,ATR-42-300,AT43,,B06,Jet Fuel,Pressure,,16700,17,,,,,49,,B,,,,115V/AC - 220V/DC,,,2,36817
